case_id,trace_id,expected,decision,accuracy,confidence,runtime_seconds,planner_usage,tool_usage,tool_requests,memory_hits,debate_rounds,counterfactual_count,collective_omission_count
tomato_leaf_mold,f7636d061556446395543819bd70c9b0,叶霉病,病理判断首选：番茄叶霉病,1.0,0.74,0.0177,1.0,1.0,3,3,2,8,0
tomato_early_blight,effea4e2833d4803acb5ca67a2587157,早疫病,病理判断首选：番茄早疫病,1.0,0.75,0.016,1.0,1.0,3,3,2,8,0
tomato_monitor,7f21278f403f45ec924396c47359530a,证据不足,已生成栽培管理建议,1.0,0.58,0.0144,1.0,1.0,2,2,1,5,2
tomato_irrigate,4f7546d0618e480f92a4f9c500adb90f,证据不足,气象条件支持灌溉,1.0,0.58,0.0147,1.0,1.0,2,2,1,5,2
cucumber_downy_mildew,0b0cefcc9ada4a72bd4ee343261d1088,霜霉病,病理判断首选：黄瓜霜霉病,1.0,0.76,0.2889,1.0,1.0,3,3,2,8,0
sugar_beet_leaf_spot,fa1564af392e46fbb5d4d88c0505631a,褐斑病,病理判断首选：甜菜褐斑病,1.0,0.75,0.0175,1.0,1.0,3,2,2,8,1
sugar_beet_root_rot,844196858729448887544483e90ee961,根腐病,病理判断首选：甜菜根腐病,1.0,0.75,0.0167,1.0,1.0,3,2,2,8,1
sugar_beet_alert,9f4f8e4c0d5f4a5aa5ac3d4134e75204,证据不足,已生成栽培管理建议,1.0,0.58,0.014,1.0,1.0,2,1,1,5,2
cotton_verticillium_wilt,a8cc110798e04ab8bf42c9b717fe8959,黄萎病,病理判断首选：棉花黄萎病,1.0,0.75,0.0162,1.0,1.0,3,2,2,8,0
cotton_fusarium_wilt,21bdd180bf064011af5911eeee62362a,枯萎病,病理判断首选：棉花枯萎病,1.0,0.65,0.0151,1.0,1.0,3,2,2,8,1
cotton_irrigate,6c8d3d0093974f76afe1bed2fafa3b6f,证据不足,气象条件支持灌溉,1.0,0.58,0.0144,1.0,1.0,2,1,1,5,1
tomato_consult,34386104f4b5498bbedc790fd1b29e24,证据不足,气象条件支持灌溉,1.0,0.58,0.0147,1.0,1.0,2,2,1,5,1
__aggregate__,,,,1.0,0.670833,0.038347,1.0,1.0,,25,1.583333,81,11
