case_id,trace_id,expected,decision,accuracy,confidence,runtime_seconds,planner_usage,tool_usage,tool_requests,memory_hits,debate_rounds,counterfactual_count,collective_omission_count
tomato_leaf_mold,83162ebd3a4f4669a9331f51c2ff01ac,叶霉病,病理判断首选：番茄叶霉病,1.0,0.74,0.0166,1.0,1.0,3,3,2,0,1
tomato_early_blight,558d319fcf094b998f34d92dc7786a06,早疫病,病理判断首选：番茄早疫病,1.0,0.75,0.0163,1.0,1.0,3,3,2,0,1
tomato_monitor,0dbd222acbf34157834e307d3e65856c,证据不足,已生成栽培管理建议,1.0,0.58,0.0147,1.0,1.0,2,2,1,0,2
tomato_irrigate,3ce3627cf28b4d74a51c4e31579d2c9c,证据不足,气象条件支持灌溉,1.0,0.58,0.0183,1.0,1.0,2,2,1,0,2
cucumber_downy_mildew,2fe6cf1cf36e41e4aab8f578945e02a0,霜霉病,病理判断首选：黄瓜霜霉病,1.0,0.76,0.0243,1.0,1.0,3,3,2,0,0
sugar_beet_leaf_spot,783621dac7c748488f4d1f9ee765c48d,褐斑病,病理判断首选：甜菜褐斑病,1.0,0.75,0.0205,1.0,1.0,3,2,2,0,1
sugar_beet_root_rot,d94220428e26426a9441f073f44ecfcd,根腐病,病理判断首选：甜菜根腐病,1.0,0.75,0.0173,1.0,1.0,3,2,2,0,1
sugar_beet_alert,da7d010e6004462ba565ae1f79387001,证据不足,已生成栽培管理建议,1.0,0.58,0.0147,1.0,1.0,2,1,1,0,2
cotton_verticillium_wilt,6d850cc093254f429c35067807ab1cd0,黄萎病,病理判断首选：棉花黄萎病,1.0,0.75,0.0193,1.0,1.0,3,2,2,0,1
cotton_fusarium_wilt,30ab1bf5a08e4c549c7ac5a4f852e9f9,枯萎病,病理判断首选：棉花枯萎病,1.0,0.65,0.018,1.0,1.0,3,2,2,0,1
cotton_irrigate,4dc649c2b77447c9a1c3efefaed29d74,证据不足,气象条件支持灌溉,1.0,0.58,0.0134,1.0,1.0,2,1,1,0,1
tomato_consult,944c026996ad4abb88ff9c4e932c2673,证据不足,气象条件支持灌溉,1.0,0.58,0.0143,1.0,1.0,2,2,1,0,1
__aggregate__,,,,1.0,0.670833,0.017305,1.0,1.0,,25,1.583333,0,14
