case_id,trace_id,expected,decision,accuracy,confidence,runtime_seconds,planner_usage,tool_usage,tool_requests,memory_hits,debate_rounds,counterfactual_count,collective_omission_count
tomato_leaf_mold,596e423bca3540bbb2e2ae6c03c0bfbe,叶霉病,病理判断首选：番茄叶霉病,1.0,0.74,0.017,1.0,1.0,3,3,2,8,0
tomato_early_blight,2aaf7e2f2d844665af4159c2f05d4b42,早疫病,病理判断首选：番茄早疫病,1.0,0.75,0.0164,1.0,1.0,3,3,2,8,0
tomato_monitor,855c1ab6e2444b1f954934161b5ffdd2,证据不足,已生成栽培管理建议,1.0,0.58,0.0142,1.0,1.0,2,2,1,5,2
tomato_irrigate,901bfae563634f6ba52e95dff53a0bfa,证据不足,气象条件支持灌溉,1.0,0.58,0.0133,1.0,1.0,2,2,1,5,2
cucumber_downy_mildew,370f077b95844c08bd3189f172825f49,霜霉病,病理判断首选：黄瓜霜霉病,1.0,0.76,0.0149,1.0,1.0,3,3,2,8,0
sugar_beet_leaf_spot,48b07852f76e4ab9a9965e894bee997c,褐斑病,病理判断首选：甜菜褐斑病,1.0,0.75,0.0155,1.0,1.0,3,2,2,8,1
sugar_beet_root_rot,e9a0c96d8f9d4d938fb225fbb6177927,根腐病,病理判断首选：甜菜根腐病,1.0,0.75,0.0181,1.0,1.0,3,2,2,8,1
sugar_beet_alert,1a4c5b1260e84aa993ea469e31a52602,证据不足,已生成栽培管理建议,1.0,0.58,0.014,1.0,1.0,2,1,1,5,2
cotton_verticillium_wilt,a0339ba46f6f4f3fa4033df91c14dd7e,黄萎病,病理判断首选：棉花黄萎病,1.0,0.75,0.0229,1.0,1.0,3,2,2,8,0
cotton_fusarium_wilt,4e864ae91374443386459987fb6e8473,枯萎病,病理判断首选：棉花枯萎病,1.0,0.65,0.0217,1.0,1.0,3,2,2,8,1
cotton_irrigate,b12099cfb81548fab49d03bef7e37ebc,证据不足,气象条件支持灌溉,1.0,0.58,0.0172,1.0,1.0,2,1,1,5,1
tomato_consult,a47434a74ee74a9c9ab1f19034f92c0a,证据不足,气象条件支持灌溉,1.0,0.58,0.0149,1.0,1.0,2,2,1,5,1
__aggregate__,,,,1.0,0.670833,0.016684,1.0,1.0,,25,1.583333,81,11
