case_id,trace_id,expected,decision,accuracy,confidence,runtime_seconds,planner_usage,tool_usage,tool_requests,memory_hits,debate_rounds,counterfactual_count,collective_omission_count
tomato_leaf_mold,1a7304baa7494795aed3771fdca992e3,叶霉病,病理判断首选：番茄叶霉病,1.0,0.72,0.0153,1.0,1.0,2,3,0,5,0
tomato_early_blight,925b17150da545199c228e371cdcdefb,早疫病,病理判断首选：番茄早疫病,1.0,0.73,0.0139,1.0,1.0,2,3,0,5,0
tomato_monitor,c3b1c4bb3958479eb0c31ae32be96787,证据不足,已生成栽培管理建议,1.0,0.58,0.0129,1.0,1.0,1,2,0,5,2
tomato_irrigate,2c5729a34582435398c626dc453d3178,证据不足,气象条件支持灌溉,1.0,0.58,0.0141,1.0,1.0,1,2,0,5,2
cucumber_downy_mildew,fe8eb10f2ff643528cf2f8968ae8df39,霜霉病,病理判断首选：黄瓜霜霉病,1.0,0.74,0.0126,1.0,1.0,2,3,0,5,0
sugar_beet_leaf_spot,c3a7aeaff3be416c88a1fc7dc103913b,褐斑病,病理判断首选：甜菜褐斑病,1.0,0.73,0.0135,1.0,1.0,2,2,0,5,1
sugar_beet_root_rot,8be6d466a258495f8d8125c0c64f1d87,根腐病,病理判断首选：甜菜根腐病,1.0,0.73,0.0141,1.0,1.0,2,2,0,5,1
sugar_beet_alert,29a2d11b6ca541f591ef91061433971e,证据不足,已生成栽培管理建议,1.0,0.58,0.0141,1.0,1.0,1,1,0,5,2
cotton_verticillium_wilt,6b93e70b90974d82b358d3953b3fcfd8,黄萎病,病理判断首选：棉花黄萎病,1.0,0.73,0.0149,1.0,1.0,2,2,0,5,0
cotton_fusarium_wilt,c81aa516039a4b9daf6f30fe80dc89f9,枯萎病,病理判断首选：棉花枯萎病,1.0,0.65,0.0151,1.0,1.0,2,2,0,5,1
cotton_irrigate,4b1b22dfc2cd44b49b4612b92a1eb892,证据不足,气象条件支持灌溉,1.0,0.58,0.0132,1.0,1.0,1,1,0,5,1
tomato_consult,5d66af9055a64a8baab425c8c9b65e53,证据不足,气象条件支持灌溉,1.0,0.58,0.0133,1.0,1.0,1,2,0,5,1
__aggregate__,,,,1.0,0.660833,0.013912,1.0,1.0,,25,0.0,60,11
