case_id,trace_id,expected,decision,accuracy,confidence,runtime_seconds,planner_usage,tool_usage,tool_requests,memory_hits,debate_rounds,counterfactual_count,collective_omission_count
tomato_leaf_mold,d90235cce555441ca39e93f3214d8cf7,叶霉病,病理判断首选：番茄叶霉病,1.0,0.74,0.0136,1.0,1.0,3,0,2,8,0
tomato_early_blight,94811e7578014d4d92a2e7f278cf6f6b,早疫病,病理判断首选：番茄早疫病,1.0,0.75,0.0138,1.0,1.0,3,0,2,8,0
tomato_monitor,8c198eb95e1b4f2b9da357653e1b0f1a,证据不足,已生成栽培管理建议,1.0,0.58,0.0112,1.0,1.0,2,0,1,5,2
tomato_irrigate,58d4a0c92fb54f3983b27fa271c72d9c,证据不足,气象条件支持灌溉,1.0,0.58,0.0102,1.0,1.0,2,0,1,5,2
cucumber_downy_mildew,423ca4d78c61434bad5bd7fd63f846e8,霜霉病,病理判断首选：黄瓜霜霉病,1.0,0.76,0.0138,1.0,1.0,3,0,2,8,0
sugar_beet_leaf_spot,1a31a02db2d64e169cc7643532700a6c,褐斑病,病理判断首选：甜菜褐斑病,1.0,0.75,0.0149,1.0,1.0,3,0,2,8,1
sugar_beet_root_rot,47a407bc39eb403baee0fa09950b421b,根腐病,病理判断首选：甜菜根腐病,1.0,0.75,0.0126,1.0,1.0,3,0,2,8,1
sugar_beet_alert,2b543e47117a49c0a594250328423a63,证据不足,已生成栽培管理建议,1.0,0.58,0.01,1.0,1.0,2,0,1,5,2
cotton_verticillium_wilt,e2d0f4cf812e46f69b0c811afb47eb52,黄萎病,病理判断首选：棉花黄萎病,1.0,0.75,0.0118,1.0,1.0,3,0,2,8,0
cotton_fusarium_wilt,30e6fa20b27e409ba56087654121d21b,枯萎病,病理判断首选：棉花枯萎病,1.0,0.65,0.013,1.0,1.0,3,0,2,8,1
cotton_irrigate,8b91fa58391e434ba47df00543798a0f,证据不足,气象条件支持灌溉,1.0,0.58,0.0104,1.0,1.0,2,0,1,5,1
tomato_consult,6ba110165ec0459bbf3687082eeb50c1,证据不足,气象条件支持灌溉,1.0,0.58,0.01,1.0,1.0,2,0,1,5,1
__aggregate__,,,,1.0,0.670833,0.012103,1.0,1.0,,0,1.583333,81,11
