case_id,trace_id,expected,decision,accuracy,confidence,runtime_seconds,planner_usage,tool_usage,tool_requests,memory_hits,debate_rounds,counterfactual_count,collective_omission_count
tomato_leaf_mold,9a3ecddd63e644929f12efe17104ed91,叶霉病,病理判断首选：番茄叶霉病,1.0,0.74,0.0165,0.0,0.0,0,3,2,8,0
tomato_early_blight,0c66159c92b84f1fb45d11b83956469d,早疫病,病理判断首选：番茄早疫病,1.0,0.75,0.0167,0.0,0.0,0,3,2,8,0
tomato_monitor,52c88343b1084c68a471c651ba6c1374,证据不足,已生成栽培管理建议,1.0,0.58,0.0142,0.0,0.0,0,2,1,5,2
tomato_irrigate,fa795fe99640426786294a3a85fe8ead,证据不足,气象条件支持灌溉,1.0,0.58,0.0141,0.0,0.0,0,2,1,5,2
cucumber_downy_mildew,0f3cb13448a54f64a3394465f6796b3d,霜霉病,病理判断首选：黄瓜霜霉病,1.0,0.76,0.0158,0.0,0.0,0,3,2,8,0
sugar_beet_leaf_spot,e672489270f64d5cb8014b45188f34d5,褐斑病,病理判断首选：甜菜褐斑病,1.0,0.75,0.0166,0.0,0.0,0,2,2,8,1
sugar_beet_root_rot,3ffc137545dc47ceb7d3cdb6dbdf35d2,根腐病,病理判断首选：甜菜根腐病,1.0,0.75,0.0174,0.0,0.0,0,2,2,8,1
sugar_beet_alert,18a12edd1bb94add8a842388b164f03a,证据不足,已生成栽培管理建议,1.0,0.58,0.0158,0.0,0.0,0,1,1,5,2
cotton_verticillium_wilt,e331ec48ef624c178442fe63c3b6a772,黄萎病,病理判断首选：棉花黄萎病,1.0,0.75,0.0161,0.0,0.0,0,2,2,8,0
cotton_fusarium_wilt,ba5bfb79d60e412394aae0301852dcbd,枯萎病,病理判断首选：棉花枯萎病,1.0,0.65,0.0161,0.0,0.0,0,2,2,8,1
cotton_irrigate,07882b9a880e4bdfb05fdd6df5c5910c,证据不足,气象条件支持灌溉,1.0,0.58,0.014,0.0,0.0,0,1,1,5,1
tomato_consult,58140e1574e149e9a8ec11e144ad5ca8,证据不足,气象条件支持灌溉,1.0,0.58,0.0152,0.0,0.0,0,2,1,5,1
__aggregate__,,,,1.0,0.670833,0.01571,0.0,0.0,,25,1.583333,81,11
