case_id,trace_id,expected,decision,accuracy,confidence,runtime_seconds,planner_usage,tool_usage,tool_requests,memory_hits,debate_rounds,counterfactual_count,collective_omission_count
tomato_leaf_mold,d5500e5cd7ce4381b5263440702760ce,叶霉病,病理判断首选：番茄叶霉病,1.0,0.74,0.0191,1.0,0.0,0,3,2,8,0
tomato_early_blight,c35981e37f794433b04e687b66d06aa2,早疫病,病理判断首选：番茄早疫病,1.0,0.75,0.0187,1.0,0.0,0,3,2,8,0
tomato_monitor,6e5c307d432c4c18af21f233d3b26a17,证据不足,已生成栽培管理建议,1.0,0.58,0.0145,1.0,0.0,0,2,1,5,2
tomato_irrigate,4022673c3e63476996e5c46a465c2aa9,证据不足,气象条件支持灌溉,1.0,0.58,0.0156,1.0,0.0,0,2,1,5,2
cucumber_downy_mildew,115803b212524a669c98e43171da6d9a,霜霉病,病理判断首选：黄瓜霜霉病,1.0,0.76,0.0176,1.0,0.0,0,3,2,8,0
sugar_beet_leaf_spot,5e7ba8f33e8543e1ab21cab4d85832e2,褐斑病,病理判断首选：甜菜褐斑病,1.0,0.75,0.0186,1.0,0.0,0,2,2,8,1
sugar_beet_root_rot,e1060dcc620a4e27a59b2d63f7d4e138,根腐病,病理判断首选：甜菜根腐病,1.0,0.75,0.0179,1.0,0.0,0,2,2,8,1
sugar_beet_alert,8ba5fd143a6144c69b1ef0ee295cb17d,证据不足,已生成栽培管理建议,1.0,0.58,0.014,1.0,0.0,0,1,1,5,2
cotton_verticillium_wilt,db6bd739abda49d2b74b453734dcdfd3,黄萎病,病理判断首选：棉花黄萎病,1.0,0.75,0.0182,1.0,0.0,0,2,2,8,0
cotton_fusarium_wilt,d207a2c53dde4b44a6987f9c2346ba7e,枯萎病,病理判断首选：棉花枯萎病,1.0,0.65,0.017,1.0,0.0,0,2,2,8,1
cotton_irrigate,d264cc97d6d24545a53130255b77c503,证据不足,气象条件支持灌溉,1.0,0.58,0.0145,1.0,0.0,0,1,1,5,1
tomato_consult,41c21d84719f45f18c1470ea1577b545,证据不足,气象条件支持灌溉,1.0,0.58,0.0142,1.0,0.0,0,2,1,5,1
__aggregate__,,,,1.0,0.670833,0.016657,1.0,0.0,,25,1.583333,81,11
