case_id,trace_id,expected,decision,accuracy,confidence,runtime_seconds,planner_usage,tool_usage,tool_requests,memory_hits,debate_rounds,counterfactual_count,collective_omission_count
mi_tomato_growth_slow,380e5a1e4eb04bebbf3e4e38985c57ae,证据不足,已生成栽培管理建议,1.0,0.58,0.0152,1.0,1.0,2,2,1,5,2
mi_sugar_beet_partial,0b6b1bbffe37421aa3d8989a3342e562,证据不足,已生成栽培管理建议,1.0,0.58,0.0134,1.0,1.0,2,1,1,5,2
mi_cotton_unclear,201ee18e83b446f4b3dbd5e9652ee023,证据不足,已生成栽培管理建议,1.0,0.58,0.014,1.0,1.0,2,1,1,5,2
ce_tomato_mold_dry,f65e59b1f0574e84bbff12aba9af14ab,叶霉病,已生成栽培管理建议,1.0,0.6,0.0167,1.0,1.0,5,3,2,8,1
ce_sugar_beet_root_rot_dry,8e58d13f3ff34c36838ec77cad325a2c,根腐病,病理判断首选：甜菜根腐病,1.0,0.75,0.0155,1.0,1.0,4,2,2,8,1
ce_cotton_wilt_hot,4f46b8cfbb224c7c827c68b94474061b,黄萎病,病理判断首选：棉花黄萎病,1.0,0.76,0.0153,1.0,1.0,4,2,2,8,0
md_tomato_mold_blight,28ce2e7de17540fab1b152f49a278adb,早疫病,病理判断首选：番茄早疫病,1.0,0.75,0.0165,1.0,1.0,3,3,2,8,0
md_sugar_beet_root_rot_plus,ab2f6b58e8844ed3bb6fa4f4cfd2e40b,褐斑病,病理判断首选：甜菜褐斑病,1.0,0.74,0.0157,1.0,1.0,3,2,2,8,0
md_cotton_two_wilts,b5226f6d93d649c88c9beab81c5e7216,黄萎病,病理判断首选：棉花黄萎病,1.0,0.75,0.0163,1.0,1.0,3,2,2,8,0
rk_cucumber_downy,eac93e1136d54e5893f2570b8f4f42a0,霜霉病,病理判断首选：黄瓜霜霉病,1.0,0.76,0.2717,1.0,1.0,3,3,2,8,0
rk_tomato_nutrient,6bd109c1a3884395982e1dad8e134faa,证据不足,已生成栽培管理建议,1.0,0.58,0.0118,1.0,1.0,2,2,1,5,2
rk_sugar_beet_cracking,d2605279f0df4193bbea82f338aa45b2,证据不足,已生成栽培管理建议,1.0,0.58,0.0132,1.0,1.0,2,1,1,5,2
sc_tomato_irrigate_after_rain,ea1d682d24694b37a5299810a3fd2bbc,叶霉病,气象条件支持灌溉,1.0,0.59,0.0145,1.0,1.0,5,3,2,8,1
sc_cotton_wilt_anomaly,0492892c12c24126a58a3038afdbb5f8,黄萎病,病理判断首选：棉花黄萎病,1.0,0.75,0.0143,1.0,1.0,4,2,2,8,0
sc_sugar_beet_overwatered,74e49aa1cc72436eac1323151f3e0e40,根腐病,病理判断首选：甜菜根腐病,1.0,0.61,0.0148,1.0,1.0,5,2,2,8,1
__aggregate__,,,,1.0,0.664,0.031929,1.0,1.0,,31,1.666667,105,14
