case_id,trace_id,expected,decision,accuracy,confidence,runtime_seconds,planner_usage,tool_usage,tool_requests,memory_hits,debate_rounds,counterfactual_count,collective_omission_count
mi_tomato_growth_slow,867d18668b6a466991677bf49357216a,证据不足,已生成栽培管理建议,1.0,0.58,0.0151,1.0,1.0,2,2,1,0,2
mi_sugar_beet_partial,e2948f11c90a438f9ba6d8476dcc611e,证据不足,已生成栽培管理建议,1.0,0.58,0.0135,1.0,1.0,2,1,1,0,2
mi_cotton_unclear,c472971dc58c41c481ccbaae13feb488,证据不足,已生成栽培管理建议,1.0,0.58,0.0149,1.0,1.0,2,1,1,0,2
ce_tomato_mold_dry,f31b116f9de1418b92e5b29f40119c7f,叶霉病,已生成栽培管理建议,1.0,0.6,0.0176,1.0,1.0,5,3,2,0,1
ce_sugar_beet_root_rot_dry,65ca21878e7845279e3352bf57429043,根腐病,病理判断首选：甜菜根腐病,1.0,0.75,0.02,1.0,1.0,4,2,2,0,1
ce_cotton_wilt_hot,a0415a3bb2454056bb498649d6bd161e,黄萎病,病理判断首选：棉花黄萎病,1.0,0.76,0.0171,1.0,1.0,4,2,2,0,1
md_tomato_mold_blight,8c6dc6a04778481bb82c91e15ed2065d,早疫病,病理判断首选：番茄早疫病,1.0,0.75,0.0174,1.0,1.0,3,3,2,0,1
md_sugar_beet_root_rot_plus,c387b9406e1048ba88220bc866058a4d,褐斑病,病理判断首选：甜菜褐斑病,1.0,0.74,0.0162,1.0,1.0,3,2,2,0,1
md_cotton_two_wilts,e413f1c475f24ef5ad5dbd989d2d4d2e,黄萎病,病理判断首选：棉花黄萎病,1.0,0.75,0.017,1.0,1.0,3,2,2,0,1
rk_cucumber_downy,e48c9ad5e3304649b2ded09d9c4ad22c,霜霉病,病理判断首选：黄瓜霜霉病,1.0,0.76,0.0171,1.0,1.0,3,3,2,0,0
rk_tomato_nutrient,34a49517b52741c3a42f7b3eafb9eca7,证据不足,已生成栽培管理建议,1.0,0.58,0.015,1.0,1.0,2,2,1,0,2
rk_sugar_beet_cracking,d6631309fbdb4b6895c509c2c50b096b,证据不足,已生成栽培管理建议,1.0,0.58,0.0156,1.0,1.0,2,1,1,0,2
sc_tomato_irrigate_after_rain,6c55c6d6ea4344628e092833fce8e521,叶霉病,气象条件支持灌溉,1.0,0.59,0.0168,1.0,1.0,5,3,2,0,1
sc_cotton_wilt_anomaly,4b795bd1059748edb70cd7a1f2217c82,黄萎病,病理判断首选：棉花黄萎病,1.0,0.75,0.0171,1.0,1.0,4,2,2,0,1
sc_sugar_beet_overwatered,91aaa6d0a3d246d6977e74beaaf40bb2,根腐病,病理判断首选：甜菜根腐病,1.0,0.61,0.0171,1.0,1.0,5,2,2,0,1
__aggregate__,,,,1.0,0.664,0.016514,1.0,1.0,,31,1.666667,0,19
