case_id,trace_id,expected,decision,accuracy,confidence,runtime_seconds,planner_usage,tool_usage,tool_requests,memory_hits,debate_rounds,counterfactual_count,collective_omission_count
mi_tomato_growth_slow,173ef7f3d83f4747b4606ae08a2a10c7,证据不足,已生成栽培管理建议,1.0,0.58,0.0122,0.0,0.0,0,2,1,5,2
mi_sugar_beet_partial,3d40144a03c048329570fdc230a13067,证据不足,已生成栽培管理建议,1.0,0.58,0.012,0.0,0.0,0,1,1,5,2
mi_cotton_unclear,251421b439c34af697a5b6ae06cd3034,证据不足,已生成栽培管理建议,1.0,0.58,0.0134,0.0,0.0,0,1,1,5,2
ce_tomato_mold_dry,56f1a043d55c4104b9aae292391ae67a,叶霉病,已生成栽培管理建议,1.0,0.6,0.015,0.0,0.0,0,3,2,8,1
ce_sugar_beet_root_rot_dry,5a1322d70aba4fb8abf907440e781f22,根腐病,病理判断首选：甜菜根腐病,1.0,0.75,0.0128,0.0,0.0,0,2,2,8,1
ce_cotton_wilt_hot,a8f5e0e73e8b4b9f80c254983f65b998,黄萎病,病理判断首选：棉花黄萎病,1.0,0.76,0.0142,0.0,0.0,0,2,2,8,0
md_tomato_mold_blight,089a7dc466504d56b6bbdf66d7d48794,早疫病,病理判断首选：番茄早疫病,1.0,0.75,0.016,0.0,0.0,0,3,2,8,0
md_sugar_beet_root_rot_plus,f111809c220249ef84359120c8a8e62c,褐斑病,病理判断首选：甜菜褐斑病,1.0,0.74,0.0155,0.0,0.0,0,2,2,8,0
md_cotton_two_wilts,ff8a2b8690654bc39d6bc3ee3cb2c352,黄萎病,病理判断首选：棉花黄萎病,1.0,0.75,0.0142,0.0,0.0,0,2,2,8,0
rk_cucumber_downy,ca6769f51ee542378b64b27d8c50cfc4,霜霉病,病理判断首选：黄瓜霜霉病,1.0,0.76,0.0148,0.0,0.0,0,3,2,8,0
rk_tomato_nutrient,9324d3223bf243139bc12c28ad6ab4ac,证据不足,已生成栽培管理建议,1.0,0.58,0.0121,0.0,0.0,0,2,1,5,2
rk_sugar_beet_cracking,e0cfe63ebf294b30bf0db79495b9c8b7,证据不足,已生成栽培管理建议,1.0,0.58,0.0118,0.0,0.0,0,1,1,5,2
sc_tomato_irrigate_after_rain,437c2dd58a6943febc3f3058700020ae,叶霉病,气象条件支持灌溉,1.0,0.59,0.0152,0.0,0.0,0,3,2,8,1
sc_cotton_wilt_anomaly,7c61b377de9348d290e9ad0cb7e61500,黄萎病,病理判断首选：棉花黄萎病,1.0,0.75,0.0164,0.0,0.0,0,2,2,8,0
sc_sugar_beet_overwatered,6f4ac93fa610430fae73eb89b2556916,根腐病,病理判断首选：甜菜根腐病,1.0,0.61,0.0171,0.0,0.0,0,2,2,8,1
__aggregate__,,,,1.0,0.664,0.014181,0.0,0.0,,31,1.666667,105,14
