case_id,trace_id,expected,decision,accuracy,confidence,runtime_seconds,planner_usage,tool_usage,tool_requests,memory_hits,debate_rounds,counterfactual_count,collective_omission_count
mi_tomato_growth_slow,712eef104bff43c3930827fe82aa45f9,证据不足,已生成栽培管理建议,1.0,0.58,0.0172,1.0,1.0,2,2,1,5,2
mi_sugar_beet_partial,c6411aad3a0f4821aca38ca4c9f98554,证据不足,已生成栽培管理建议,1.0,0.58,0.0139,1.0,1.0,2,1,1,5,2
mi_cotton_unclear,daaa2e9e5167491b97e6daf679a3ffdc,证据不足,已生成栽培管理建议,1.0,0.58,0.0149,1.0,1.0,2,1,1,5,2
ce_tomato_mold_dry,a02b9ed5ac6e435e9034dba848b3cd2d,叶霉病,已生成栽培管理建议,1.0,0.6,0.0168,1.0,1.0,5,3,2,8,1
ce_sugar_beet_root_rot_dry,18f63cd2fa524af4b0943b8d58c66ae8,根腐病,病理判断首选：甜菜根腐病,1.0,0.75,0.0199,1.0,1.0,4,2,2,8,1
ce_cotton_wilt_hot,e87a4b2438614997be523c5948be3cce,黄萎病,病理判断首选：棉花黄萎病,1.0,0.76,0.0181,1.0,1.0,4,2,2,8,0
md_tomato_mold_blight,d1ca212e57424e37b15b97656d70ae01,早疫病,病理判断首选：番茄早疫病,1.0,0.75,0.0166,1.0,1.0,3,3,2,8,0
md_sugar_beet_root_rot_plus,485329b967a9416aa1dbcb33d3629722,褐斑病,病理判断首选：甜菜褐斑病,1.0,0.74,0.0173,1.0,1.0,3,2,2,8,0
md_cotton_two_wilts,619c1c250b254270b6c800e0f2584c2b,黄萎病,病理判断首选：棉花黄萎病,1.0,0.75,0.0169,1.0,1.0,3,2,2,8,0
rk_cucumber_downy,c0114ea5f07c45578ca337daa6595407,霜霉病,病理判断首选：黄瓜霜霉病,1.0,0.76,0.265,1.0,1.0,3,3,2,8,0
rk_tomato_nutrient,bab73ab1a2164d4f886b4b01e57d0ca2,证据不足,已生成栽培管理建议,1.0,0.58,0.0126,1.0,1.0,2,2,1,5,2
rk_sugar_beet_cracking,c2ff865ab22b4015a6c90fb4f4dc58c8,证据不足,已生成栽培管理建议,1.0,0.58,0.0137,1.0,1.0,2,1,1,5,2
sc_tomato_irrigate_after_rain,bfc4aa8017b141cfabd256b334f5ebc3,叶霉病,气象条件支持灌溉,1.0,0.59,0.0181,1.0,1.0,5,3,2,8,1
sc_cotton_wilt_anomaly,2353df6442ab4f2fbed6a43390f1f608,黄萎病,病理判断首选：棉花黄萎病,1.0,0.75,0.0169,1.0,1.0,4,2,2,8,0
sc_sugar_beet_overwatered,c532f5f429234dab803c737522307563,根腐病,病理判断首选：甜菜根腐病,1.0,0.61,0.0159,1.0,1.0,5,2,2,8,1
ig_tomato_missing_info,23876e60672b4c13b833ded7415deabe,证据不足,已生成栽培管理建议,1.0,0.58,0.0143,1.0,1.0,2,2,1,5,2
ig_sugar_beet_missing_info,021cbe86aeb946c3803a53ec4114200e,证据不足,已生成栽培管理建议,1.0,0.58,0.0144,1.0,1.0,2,1,1,5,1
ig_cotton_missing_info,900bd6b544ff423ab32a68cb56a9c497,证据不足,已生成栽培管理建议,1.0,0.58,0.0142,1.0,1.0,2,1,1,5,2
__aggregate__,,,,1.0,0.65,0.029823,1.0,1.0,,35,1.555556,120,19
