case_id,trace_id,expected,decision,accuracy,confidence,runtime_seconds,planner_usage,tool_usage,tool_requests,memory_hits,debate_rounds,counterfactual_count,collective_omission_count
mi_tomato_growth_slow,fb7709dca8254c6398ffa87f27dfb13b,证据不足,已生成栽培管理建议,1.0,0.58,0.0164,1.0,1.0,2,2,1,0,2
mi_sugar_beet_partial,b0d578825e7c4e8ebe8b83d5683b4aa9,证据不足,已生成栽培管理建议,1.0,0.58,0.0152,1.0,1.0,2,1,1,0,2
mi_cotton_unclear,6ae5b48d35284ca0a8b293c2b119c0f1,证据不足,已生成栽培管理建议,1.0,0.58,0.0171,1.0,1.0,2,1,1,0,2
ce_tomato_mold_dry,b36a1914428a4e88848109ffc057531c,叶霉病,已生成栽培管理建议,1.0,0.6,0.0172,1.0,1.0,5,3,2,0,1
ce_sugar_beet_root_rot_dry,c1adc45db2a647baa108478921d39156,根腐病,病理判断首选：甜菜根腐病,1.0,0.75,0.0161,1.0,1.0,4,2,2,0,1
ce_cotton_wilt_hot,a6ea2eb22e6149b6b4ca12dfbf6f4d8f,黄萎病,病理判断首选：棉花黄萎病,1.0,0.76,0.0163,1.0,1.0,4,2,2,0,1
md_tomato_mold_blight,03044052eb2e4e339d1bad81ea89d8f1,早疫病,病理判断首选：番茄早疫病,1.0,0.75,0.0151,1.0,1.0,3,3,2,0,1
md_sugar_beet_root_rot_plus,fd413ca4a48946cba53747738f7c773b,褐斑病,病理判断首选：甜菜褐斑病,1.0,0.74,0.0154,1.0,1.0,3,2,2,0,1
md_cotton_two_wilts,46402b0336fc49fd99abd26384c5afe1,黄萎病,病理判断首选：棉花黄萎病,1.0,0.75,0.0167,1.0,1.0,3,2,2,0,1
rk_cucumber_downy,bb2df7da5dec45179eae73dfdff86673,霜霉病,病理判断首选：黄瓜霜霉病,1.0,0.76,0.0155,1.0,1.0,3,3,2,0,0
rk_tomato_nutrient,43105236677440c483af599047687045,证据不足,已生成栽培管理建议,1.0,0.58,0.0124,1.0,1.0,2,2,1,0,2
rk_sugar_beet_cracking,550382e55aa84e0d9d8ef2472a12a5cd,证据不足,已生成栽培管理建议,1.0,0.58,0.0133,1.0,1.0,2,1,1,0,2
sc_tomato_irrigate_after_rain,8826bcb983c14984bdcb634a7c5295d8,叶霉病,气象条件支持灌溉,1.0,0.59,0.0159,1.0,1.0,5,3,2,0,1
sc_cotton_wilt_anomaly,d5cfdcdddc104062880296603bbe33b1,黄萎病,病理判断首选：棉花黄萎病,1.0,0.75,0.014,1.0,1.0,4,2,2,0,1
sc_sugar_beet_overwatered,1756467557774e9293d0e856361e5914,根腐病,病理判断首选：甜菜根腐病,1.0,0.61,0.0157,1.0,1.0,5,2,2,0,1
ig_tomato_missing_info,e3c03269869544a4b7249c109770fd69,证据不足,已生成栽培管理建议,1.0,0.58,0.0139,1.0,1.0,2,2,1,0,2
ig_sugar_beet_missing_info,03c9d0f6562441949db4c848d4a2bfc2,证据不足,已生成栽培管理建议,1.0,0.58,0.0135,1.0,1.0,2,1,1,0,1
ig_cotton_missing_info,b484b39713c8484bb3f5201613670a32,证据不足,已生成栽培管理建议,1.0,0.58,0.0126,1.0,1.0,2,1,1,0,2
__aggregate__,,,,1.0,0.65,0.015135,1.0,1.0,,35,1.555556,0,24
