case_id,trace_id,expected,decision,accuracy,confidence,runtime_seconds,planner_usage,tool_usage,tool_requests,memory_hits,debate_rounds,counterfactual_count,collective_omission_count
mi_tomato_growth_slow,6c3fde052a3346b7934b1d9c2079ce1c,证据不足,已生成栽培管理建议,1.0,0.58,0.0179,1.0,1.0,2,2,1,5,2
mi_sugar_beet_partial,bf3530e8fd4d4dc5afe958dedee6f557,证据不足,已生成栽培管理建议,1.0,0.58,0.0143,1.0,1.0,2,1,1,5,2
mi_cotton_unclear,59fdf9eaac524ed3a7cf86bd8a7608ec,证据不足,已生成栽培管理建议,1.0,0.58,0.0147,1.0,1.0,2,1,1,5,2
ce_tomato_mold_dry,7bd624b6919c4d26aa799dd8e5e4631e,叶霉病,已生成栽培管理建议,1.0,0.6,0.0181,1.0,1.0,5,3,2,8,1
ce_sugar_beet_root_rot_dry,dd064012596d4607a6818c2bd54f1006,根腐病,病理判断首选：甜菜根腐病,1.0,0.75,0.0153,1.0,1.0,4,2,2,8,1
ce_cotton_wilt_hot,27a7b2afe5924bc9994e6f49d860dbb4,黄萎病,病理判断首选：棉花黄萎病,1.0,0.76,0.0148,1.0,1.0,4,2,2,8,0
md_tomato_mold_blight,ac2a01c67ac14de48508ac962c8d7ea5,早疫病,病理判断首选：番茄早疫病,1.0,0.75,0.0164,1.0,1.0,3,3,2,8,0
md_sugar_beet_root_rot_plus,aba23b36e7d040f69cf99a93257ea672,褐斑病,病理判断首选：甜菜褐斑病,1.0,0.74,0.0166,1.0,1.0,3,2,2,8,0
md_cotton_two_wilts,174439b81cfd45869df4748113448e26,黄萎病,病理判断首选：棉花黄萎病,1.0,0.75,0.0163,1.0,1.0,3,2,2,8,0
rk_cucumber_downy,44b7f66f970e47ea94d96150708c0af3,霜霉病,病理判断首选：黄瓜霜霉病,1.0,0.76,0.0154,1.0,1.0,3,3,2,8,0
rk_tomato_nutrient,a9a622812186402bb07579825880712f,证据不足,已生成栽培管理建议,1.0,0.58,0.0136,1.0,1.0,2,2,1,5,2
rk_sugar_beet_cracking,fc1dd23c8f6a49489da9898a3d2d1229,证据不足,已生成栽培管理建议,1.0,0.58,0.0127,1.0,1.0,2,1,1,5,2
sc_tomato_irrigate_after_rain,3a2c90a69f3c4384ad79c5b4656bf947,叶霉病,气象条件支持灌溉,1.0,0.66,0.0147,1.0,1.0,5,3,2,8,1
sc_cotton_wilt_anomaly,05d3fbe42eed421094b93fbe9ee6c1b7,黄萎病,病理判断首选：棉花黄萎病,1.0,0.75,0.0162,1.0,1.0,4,2,2,8,0
sc_sugar_beet_overwatered,eb2d16128ee7408893733525f331bfe6,根腐病,病理判断首选：甜菜根腐病,1.0,0.67,0.0165,1.0,1.0,5,2,2,8,1
ig_tomato_missing_info,92f86e63da7e407181f34de9c1f3fc6c,证据不足,已生成栽培管理建议,1.0,0.58,0.015,1.0,1.0,2,2,1,5,2
ig_sugar_beet_missing_info,9e8c213e8fef492b80c53ab21c7f367c,证据不足,已生成栽培管理建议,1.0,0.58,0.0139,1.0,1.0,2,1,1,5,1
ig_cotton_missing_info,ed120920e248427bba68748f0bb2ed7d,证据不足,已生成栽培管理建议,1.0,0.58,0.0142,1.0,1.0,2,1,1,5,2
__aggregate__,,,,1.0,0.657222,0.015361,1.0,1.0,,35,1.555556,120,19
