case_id,trace_id,expected,decision,accuracy,confidence,runtime_seconds,planner_usage,tool_usage,tool_requests,memory_hits,debate_rounds,counterfactual_count,collective_omission_count
mi_tomato_growth_slow,bf2dd47b0f6946ff8360a93c19727d02,证据不足,已生成栽培管理建议,1.0,0.58,0.0153,1.0,1.0,1,2,0,5,2
mi_sugar_beet_partial,7f8a7c6eaace4399810cd4490aa80ae8,证据不足,已生成栽培管理建议,1.0,0.58,0.0141,1.0,1.0,1,1,0,5,2
mi_cotton_unclear,8308835b11994b148eb57bfc29cbd75f,证据不足,已生成栽培管理建议,1.0,0.58,0.0143,1.0,1.0,1,1,0,5,2
ce_tomato_mold_dry,fe0abbe08e934d6badc7b2f6d00791f6,叶霉病,已生成栽培管理建议,1.0,0.6,0.0137,1.0,1.0,4,3,0,5,1
ce_sugar_beet_root_rot_dry,e9a9f2d607ec40b9815fd2009d74dd4a,根腐病,病理判断首选：甜菜根腐病,1.0,0.73,0.0137,1.0,1.0,3,2,0,5,1
ce_cotton_wilt_hot,4f45d31c0b744bf7954a09bae850d715,黄萎病,病理判断首选：棉花黄萎病,1.0,0.74,0.014,1.0,1.0,3,2,0,5,0
md_tomato_mold_blight,7b85f404ff82457c968ab8da518a45fb,早疫病,病理判断首选：番茄早疫病,1.0,0.73,0.0137,1.0,1.0,2,3,0,5,0
md_sugar_beet_root_rot_plus,0bf791ad93ab4a0fb1b3ff3ab2b540b0,褐斑病,病理判断首选：甜菜褐斑病,1.0,0.72,0.0156,1.0,1.0,2,2,0,5,0
md_cotton_two_wilts,ef324a46795c4e94872ae9769365c53a,黄萎病,病理判断首选：棉花黄萎病,1.0,0.73,0.0129,1.0,1.0,2,2,0,5,0
rk_cucumber_downy,39315da78788404f997a247cefb15186,霜霉病,病理判断首选：黄瓜霜霉病,1.0,0.74,0.0168,1.0,1.0,2,3,0,5,0
rk_tomato_nutrient,1d5d72aefb2943248a571d36b5de0b86,证据不足,已生成栽培管理建议,1.0,0.58,0.0145,1.0,1.0,1,2,0,5,2
rk_sugar_beet_cracking,8da82cf73e8a4a6cb54d46ca8192d3b7,证据不足,已生成栽培管理建议,1.0,0.58,0.0185,1.0,1.0,1,1,0,5,2
sc_tomato_irrigate_after_rain,b3182378b4a34692b9701175eb2d5f25,叶霉病,气象条件支持灌溉,1.0,0.65,0.0152,1.0,1.0,3,3,0,5,1
sc_cotton_wilt_anomaly,09a150afc1ae4e97adcd0b3910def1b8,黄萎病,病理判断首选：棉花黄萎病,1.0,0.73,0.0147,1.0,1.0,3,2,0,5,0
sc_sugar_beet_overwatered,99dbc9add0cc42d286dd5295a079b266,根腐病,病理判断首选：甜菜根腐病,1.0,0.66,0.0146,1.0,1.0,3,2,0,5,1
ig_tomato_missing_info,147f312c66434edc8c26050ed1bb8418,证据不足,已生成栽培管理建议,1.0,0.58,0.0144,1.0,1.0,1,2,0,5,2
ig_sugar_beet_missing_info,3086ebecaa5c4bce93a7448a23df8b0b,证据不足,已生成栽培管理建议,1.0,0.58,0.0138,1.0,1.0,1,1,0,5,1
ig_cotton_missing_info,3a5012f04e10428f8cd85faccf4fe50f,证据不足,已生成栽培管理建议,1.0,0.58,0.0146,1.0,1.0,1,1,0,5,2
__aggregate__,,,,1.0,0.648333,0.014686,1.0,1.0,,35,0.0,90,19
