case_id,trace_id,expected,decision,accuracy,confidence,runtime_seconds,planner_usage,tool_usage,tool_requests,memory_hits,debate_rounds,counterfactual_count,collective_omission_count
mi_tomato_growth_slow,9f285ea48b7c4ca3ad411ce037bec137,证据不足,已生成栽培管理建议,1.0,0.58,0.0102,1.0,1.0,2,0,1,5,2
mi_sugar_beet_partial,836b7b28828040ffbbc662636e637ba6,证据不足,已生成栽培管理建议,1.0,0.58,0.0101,1.0,1.0,2,0,1,5,2
mi_cotton_unclear,bd7453c918c34926b71d6f05f64fe87d,证据不足,已生成栽培管理建议,1.0,0.58,0.0106,1.0,1.0,2,0,1,5,2
ce_tomato_mold_dry,1dce45e5714741859c9c9bd3b2b8e49e,叶霉病,已生成栽培管理建议,1.0,0.6,0.0117,1.0,1.0,5,0,2,8,1
ce_sugar_beet_root_rot_dry,3d305e391d8344b79b82eec59d3c8cf7,根腐病,病理判断首选：甜菜根腐病,1.0,0.75,0.0129,1.0,1.0,4,0,2,8,1
ce_cotton_wilt_hot,cff1f982eb994b509f97446bd787371b,黄萎病,病理判断首选：棉花黄萎病,1.0,0.76,0.0122,1.0,1.0,4,0,2,8,0
md_tomato_mold_blight,cc96833d1ef846128ea3acef5bee596b,早疫病,病理判断首选：番茄早疫病,1.0,0.75,0.0119,1.0,1.0,3,0,2,8,0
md_sugar_beet_root_rot_plus,80edd8148d7743d9ba6067bb2d323f06,褐斑病,病理判断首选：甜菜褐斑病,1.0,0.74,0.0124,1.0,1.0,3,0,2,8,0
md_cotton_two_wilts,7b984a53028f479884c9d857a1b30f6f,黄萎病,病理判断首选：棉花黄萎病,1.0,0.75,0.0126,1.0,1.0,3,0,2,8,0
rk_cucumber_downy,5c6f690722f247219597d70ad662f360,霜霉病,病理判断首选：黄瓜霜霉病,1.0,0.76,0.0137,1.0,1.0,3,0,2,8,0
rk_tomato_nutrient,c765ff4e5d884c9abb3875d125f750b9,证据不足,已生成栽培管理建议,1.0,0.58,0.0107,1.0,1.0,2,0,1,5,2
rk_sugar_beet_cracking,7534e28834e940878108a47858713cf9,证据不足,已生成栽培管理建议,1.0,0.58,0.0119,1.0,1.0,2,0,1,5,2
sc_tomato_irrigate_after_rain,7299630da34a4cf8aed9babb7f65e0f9,叶霉病,气象条件支持灌溉,1.0,0.59,0.0118,1.0,1.0,5,0,2,8,1
sc_cotton_wilt_anomaly,4fe26daf3775439fb7fd4c6b21f99284,黄萎病,病理判断首选：棉花黄萎病,1.0,0.75,0.0127,1.0,1.0,4,0,2,8,0
sc_sugar_beet_overwatered,bfaeaf6cab33489384f2e5af4138093d,根腐病,病理判断首选：甜菜根腐病,1.0,0.61,0.0134,1.0,1.0,5,0,2,8,1
ig_tomato_missing_info,edf10c97009c4a908ce2159f53c40d67,证据不足,已生成栽培管理建议,1.0,0.58,0.0102,1.0,1.0,2,0,1,5,2
ig_sugar_beet_missing_info,2ba017aec1e84333ad9e83e4e7930c58,证据不足,已生成栽培管理建议,1.0,0.58,0.0101,1.0,1.0,2,0,1,5,1
ig_cotton_missing_info,66b06f500d2e42f1b614fc148dc2dd70,证据不足,已生成栽培管理建议,1.0,0.58,0.0096,1.0,1.0,2,0,1,5,2
__aggregate__,,,,1.0,0.65,0.011591,1.0,1.0,,0,1.555556,120,19
