case_id,trace_id,expected,decision,accuracy,confidence,runtime_seconds,planner_usage,tool_usage,tool_requests,memory_hits,debate_rounds,counterfactual_count,collective_omission_count
mi_tomato_growth_slow,e1362254280b4f2894a9d6a1adeb39e5,证据不足,已生成栽培管理建议,1.0,0.58,0.0165,0.0,0.0,0,2,1,5,2
mi_sugar_beet_partial,21dd6b556eea4a9cbe5cd61b95e2955c,证据不足,已生成栽培管理建议,1.0,0.58,0.015,0.0,0.0,0,1,1,5,2
mi_cotton_unclear,73b327e4211843889d03d5aa0bb19788,证据不足,已生成栽培管理建议,1.0,0.58,0.0136,0.0,0.0,0,1,1,5,2
ce_tomato_mold_dry,ed93e75ace734637be9bb0e9a9ec6f40,叶霉病,已生成栽培管理建议,1.0,0.6,0.0162,0.0,0.0,0,3,2,8,1
ce_sugar_beet_root_rot_dry,1a6cfdb8f1a24ffbbcacc74daf8f8cee,根腐病,病理判断首选：甜菜根腐病,1.0,0.75,0.0165,0.0,0.0,0,2,2,8,1
ce_cotton_wilt_hot,04529de5852c4c52b75d38aa9bf82b9b,黄萎病,病理判断首选：棉花黄萎病,1.0,0.76,0.0174,0.0,0.0,0,2,2,8,0
md_tomato_mold_blight,12c7b319af4a48d79938b371b1641bf5,早疫病,病理判断首选：番茄早疫病,1.0,0.75,0.0175,0.0,0.0,0,3,2,8,0
md_sugar_beet_root_rot_plus,f0afcadf91a24489983ed76bd101fdec,褐斑病,病理判断首选：甜菜褐斑病,1.0,0.74,0.0181,0.0,0.0,0,2,2,8,0
md_cotton_two_wilts,ba19e2471cfa4f8fa98bd791de1679df,黄萎病,病理判断首选：棉花黄萎病,1.0,0.75,0.0166,0.0,0.0,0,2,2,8,0
rk_cucumber_downy,4452b6358ad4499eb1aa036f950af761,霜霉病,病理判断首选：黄瓜霜霉病,1.0,0.76,0.0161,0.0,0.0,0,3,2,8,0
rk_tomato_nutrient,18cf71c50fec4896bcec9ace3c967180,证据不足,已生成栽培管理建议,1.0,0.58,0.0142,0.0,0.0,0,2,1,5,2
rk_sugar_beet_cracking,ec223c9e0e714b95aeeeccfad1c07440,证据不足,已生成栽培管理建议,1.0,0.58,0.0148,0.0,0.0,0,1,1,5,2
sc_tomato_irrigate_after_rain,83391d22b6194865808782ff2dc27019,叶霉病,气象条件支持灌溉,1.0,0.59,0.0173,0.0,0.0,0,3,2,8,1
sc_cotton_wilt_anomaly,fc2a75dc26914ca6817b9bb3377935d8,黄萎病,病理判断首选：棉花黄萎病,1.0,0.75,0.0161,0.0,0.0,0,2,2,8,0
sc_sugar_beet_overwatered,079a220eb263479a8936317bffb877c6,根腐病,病理判断首选：甜菜根腐病,1.0,0.61,0.016,0.0,0.0,0,2,2,8,1
ig_tomato_missing_info,9d472c027b88467d8e2097bf14d9043f,证据不足,已生成栽培管理建议,1.0,0.58,0.0141,0.0,0.0,0,2,1,5,2
ig_sugar_beet_missing_info,d4ddca02f94e4bd6b847c3999cf613f6,证据不足,已生成栽培管理建议,1.0,0.58,0.013,0.0,0.0,0,1,1,5,1
ig_cotton_missing_info,ca2d395b5de74b9bb5dcaffe4febf1ea,证据不足,已生成栽培管理建议,1.0,0.58,0.0144,0.0,0.0,0,1,1,5,2
__aggregate__,,,,1.0,0.65,0.015751,0.0,0.0,,35,1.555556,120,19
