case_id,trace_id,expected,decision,accuracy,confidence,runtime_seconds,planner_usage,tool_usage,tool_requests,memory_hits,debate_rounds,counterfactual_count,collective_omission_count
mi_tomato_growth_slow,dbb6684c1d4549c59915a80be91e04eb,证据不足,已生成栽培管理建议,1.0,0.58,0.0128,1.0,0.0,0,2,1,5,2
mi_sugar_beet_partial,553c0baf72764ae3945ca7b940a640b7,证据不足,已生成栽培管理建议,1.0,0.58,0.0132,1.0,0.0,0,1,1,5,2
mi_cotton_unclear,1b8ff8ca78824793aa9e06d48b028b81,证据不足,已生成栽培管理建议,1.0,0.58,0.014,1.0,0.0,0,1,1,5,2
ce_tomato_mold_dry,a874c2a60a3d4103868317be0b64cc26,叶霉病,已生成栽培管理建议,1.0,0.6,0.0155,1.0,0.0,0,3,2,8,1
ce_sugar_beet_root_rot_dry,983214ea5ef146f2be48f5084ce5df38,根腐病,病理判断首选：甜菜根腐病,1.0,0.75,0.0159,1.0,0.0,0,2,2,8,1
ce_cotton_wilt_hot,c6889e4f5ce841b7af86890b45445468,黄萎病,病理判断首选：棉花黄萎病,1.0,0.76,0.0169,1.0,0.0,0,2,2,8,0
md_tomato_mold_blight,c981c4eab49c4bb599f697a54c6ed03a,早疫病,病理判断首选：番茄早疫病,1.0,0.75,0.0162,1.0,0.0,0,3,2,8,0
md_sugar_beet_root_rot_plus,e8a6894ab48848b8b3932c9bc85c0ce6,褐斑病,病理判断首选：甜菜褐斑病,1.0,0.74,0.0163,1.0,0.0,0,2,2,8,0
md_cotton_two_wilts,80501c1a01e042afad54a607fdeba3bc,黄萎病,病理判断首选：棉花黄萎病,1.0,0.75,0.0167,1.0,0.0,0,2,2,8,0
rk_cucumber_downy,1a235a652c1046e89a1848cda19b9735,霜霉病,病理判断首选：黄瓜霜霉病,1.0,0.76,0.0175,1.0,0.0,0,3,2,8,0
rk_tomato_nutrient,e63e722842e34ca89ddb220e4ff309e2,证据不足,已生成栽培管理建议,1.0,0.58,0.0151,1.0,0.0,0,2,1,5,2
rk_sugar_beet_cracking,8effd99d0e7248eb9b0367700fbf2722,证据不足,已生成栽培管理建议,1.0,0.58,0.0205,1.0,0.0,0,1,1,5,2
sc_tomato_irrigate_after_rain,de58370b9b9045edac69f9e65dc93bdd,叶霉病,气象条件支持灌溉,1.0,0.59,0.0226,1.0,0.0,0,3,2,8,1
sc_cotton_wilt_anomaly,85ed63520d6f43d3a3a5ec043e837621,黄萎病,病理判断首选：棉花黄萎病,1.0,0.75,0.0184,1.0,0.0,0,2,2,8,0
sc_sugar_beet_overwatered,bcb05e5517854c89b6268992f0670d6d,根腐病,病理判断首选：甜菜根腐病,1.0,0.61,0.0185,1.0,0.0,0,2,2,8,1
ig_tomato_missing_info,6176cf8b61534de39812ba5a26eb182a,证据不足,已生成栽培管理建议,1.0,0.58,0.0137,1.0,0.0,0,2,1,5,2
ig_sugar_beet_missing_info,6b311540bddf4c2e994497159d59565c,证据不足,已生成栽培管理建议,1.0,0.58,0.0134,1.0,0.0,0,1,1,5,1
ig_cotton_missing_info,0162951a83594180a98cd4b2aaeef90b,证据不足,已生成栽培管理建议,1.0,0.58,0.014,1.0,0.0,0,1,1,5,2
__aggregate__,,,,1.0,0.65,0.016166,1.0,0.0,,35,1.555556,120,19
